time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.019744921875000e-01	3.262805e+00	1.631402e-06	3.226825e+00	2.505654e-01
1.020965625000000e-01	3.260509e+00	1.630254e-06	3.224570e+00	2.502778e-01
1.020970393371582e-01	3.260500e+00	3.237835e+00	3.224561e+00	2.502767e-01
1.020979930114746e-01	3.260482e+00	3.237818e+00	3.224543e+00	2.502744e-01
1.023767383902413e-01	3.255241e+00	3.232612e+00	3.219395e+00	2.496326e-01
1.026554837690081e-01	3.250003e+00	3.227411e+00	3.214249e+00	2.490014e-01
1.029342291477748e-01	3.244770e+00	3.222214e+00	3.209107e+00	2.483808e-01
1.032129745265415e-01	3.239541e+00	3.217022e+00	3.203968e+00	2.477709e-01
1.034917199053083e-01	3.234316e+00	3.211833e+00	3.198832e+00	2.471715e-01
1.037704652840750e-01	3.229096e+00	3.206649e+00	3.193699e+00	2.465828e-01
1.040492106628418e-01	3.223880e+00	3.201470e+00	3.188570e+00	2.460047e-01
1.050257731628418e-01	3.205660e+00	3.183376e+00	3.170635e+00	2.440408e-01
1.060023356628418e-01	3.187528e+00	3.165370e+00	3.152771e+00	2.422035e-01
1.069788981628418e-01	3.169502e+00	3.147470e+00	3.134994e+00	2.404935e-01
1.079554606628418e-01	3.151599e+00	3.129692e+00	3.117322e+00	2.389108e-01
1.089320231628418e-01	3.133836e+00	3.112052e+00	3.099772e+00	2.374553e-01
1.099085856628418e-01	3.116229e+00	3.094567e+00	3.082360e+00	2.361265e-01
1.108851481628418e-01	3.098795e+00	3.077255e+00	3.065104e+00	2.349237e-01
1.118617106628418e-01	3.081551e+00	3.060130e+00	3.048018e+00	2.338461e-01
1.128382731628418e-01	3.064512e+00	3.043210e+00	3.031121e+00	2.328925e-01
1.138148356628418e-01	3.047695e+00	3.026509e+00	3.014428e+00	2.320614e-01
1.147913981628418e-01	3.031115e+00	3.010045e+00	2.997955e+00	2.313514e-01
1.157679606628418e-01	3.014788e+00	2.993831e+00	2.981662e+00	2.307350e-01
1.161341716003418e-01	3.008734e+00	2.987819e+00	2.975636e+00	2.305439e-01
1.166660834503174e-01	3.000010e+00	2.979155e+00	2.966940e+00	2.302921e-01
1.166665602874756e-01	3.000002e+00	2.979148e+00	2.849166e+00	2.302918e-01
1.166670240092232e-01	2.999994e+00	2.979140e+00	2.431621e+00	2.302916e-01
1.166674450667602e-01	2.999987e+00	2.979133e+00	1.842518e+00	2.302915e-01
1.166677117229878e-01	2.999983e+00	2.979129e+00	1.497513e+00	2.302914e-01
1.166680848868189e-01	2.999977e+00	2.979123e+00	1.144647e+00	2.302912e-01
1.166687126562743e-01	2.999967e+00	2.979113e+00	7.253513e-01	2.302909e-01
1.166693968918576e-01	2.999955e+00	2.979102e+00	4.272538e-01	2.302906e-01
1.166700420130166e-01	2.999945e+00	2.979091e+00	2.565854e-01	2.302903e-01
1.166706442642098e-01	2.999935e+00	2.979081e+00	1.601184e-01	2.302901e-01
1.166712535118261e-01	2.999925e+00	2.979072e+00	9.992243e-02	2.302898e-01
1.166718681696046e-01	2.999915e+00	2.979062e+00	6.208594e-02	2.302895e-01
1.166724904286750e-01	2.999905e+00	2.979052e+00	3.831634e-02	2.302893e-01
1.166731073951327e-01	2.999895e+00	2.979042e+00	2.372482e-02	2.302890e-01
1.166737257784453e-01	2.999885e+00	2.979032e+00	1.468171e-02	2.302887e-01
1.166743416409762e-01	2.999875e+00	2.979022e+00	9.104289e-03	2.302885e-01
1.166749600691243e-01	2.999865e+00	2.979012e+00	5.636824e-03	2.302882e-01
1.166755769787123e-01	2.999855e+00	2.979002e+00	3.494484e-03	2.302879e-01
1.166761954298682e-01	2.999845e+00	2.978992e+00	2.165170e-03	2.302877e-01
1.166768127739486e-01	2.999834e+00	2.978981e+00	1.343680e-03	2.302874e-01
1.166774314833372e-01	2.999824e+00	2.978971e+00	8.342291e-04	2.302871e-01
1.166780498634771e-01	2.999814e+00	2.978961e+00	5.191696e-04	2.302869e-01
1.166786698466672e-01	2.999804e+00	2.978951e+00	3.238657e-04	2.302866e-01
1.166792905896577e-01	2.999794e+00	2.978941e+00	2.030441e-04	2.302863e-01
1.166799140823177e-01	2.999784e+00	2.978931e+00	1.281754e-04	2.302861e-01
1.166805407155440e-01	2.999774e+00	2.978921e+00	8.184998e-05	2.302858e-01
1.166811734753245e-01	2.999763e+00	2.978911e+00	5.315555e-05	2.302855e-01
1.166818150999950e-01	2.999753e+00	2.978900e+00	3.540602e-05	2.302852e-01
1.166824715936078e-01	2.999742e+00	2.978890e+00	2.442681e-05	2.302849e-01
1.166831508264505e-01	2.999731e+00	2.978879e+00	1.765442e-05	2.302847e-01
1.166838660741124e-01	2.999719e+00	2.978867e+00	1.349426e-05	2.302843e-01
1.166846361431554e-01	2.999707e+00	2.978855e+00	1.096649e-05	2.302840e-01
1.166854898762130e-01	2.999693e+00	2.978841e+00	9.462006e-06	2.302836e-01
1.166864690322466e-01	2.999677e+00	2.978825e+00	8.601882e-06	2.302832e-01
1.166876379512222e-01	2.999658e+00	2.978806e+00	8.143348e-06	2.302827e-01
1.166890987876949e-01	2.999634e+00	2.978782e+00	7.926146e-06	2.302821e-01
1.166910311943361e-01	2.999602e+00	2.978751e+00	7.841421e-06	2.302812e-01
1.166937873832196e-01	2.999557e+00	2.978706e+00	7.817651e-06	2.302801e-01
1.166981868715262e-01	2.999485e+00	2.978635e+00	7.814002e-06	2.302782e-01
1.167066663378798e-01	2.999347e+00	2.978498e+00	7.813475e-06	2.302745e-01
1.167236252705869e-01	2.999071e+00	2.978223e+00	7.812268e-06	2.302673e-01
1.167575431360013e-01	2.998518e+00	2.977674e+00	7.809880e-06	2.302529e-01
1.168253788668299e-01	2.997413e+00	2.976577e+00	7.805085e-06	2.302247e-01
