time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
8.340804710478485e-02	3.598779e+00	1.799389e-06	3.534096e+00	4.536307e-01
8.341450363718476e-02	3.598674e+00	1.799336e-06	3.533992e+00	4.536229e-01
8.342741670198461e-02	3.598463e+00	1.799231e-06	3.533783e+00	4.536072e-01
8.345324283158430e-02	3.598040e+00	1.799019e-06	3.533365e+00	4.535757e-01
8.347906505490399e-02	3.597618e+00	1.798808e-06	3.532947e+00	4.535441e-01
8.350133859075777e-02	3.597253e+00	1.798626e-06	3.532587e+00	4.535168e-01
8.352494012046220e-02	3.596867e+00	1.798432e-06	3.532204e+00	4.534878e-01
8.354786659821559e-02	3.596491e+00	1.798245e-06	3.531833e+00	4.534596e-01
8.357198237566892e-02	3.596096e+00	1.798047e-06	3.531442e+00	4.534298e-01
8.359518555178146e-02	3.595715e+00	1.797857e-06	3.531065e+00	4.534011e-01
8.361900738328140e-02	3.595325e+00	1.797661e-06	3.530679e+00	4.533716e-01
8.364223315628935e-02	3.594944e+00	1.797471e-06	3.530302e+00	4.533428e-01
8.366597280856376e-02	3.594554e+00	1.797276e-06	3.529916e+00	4.533132e-01
8.368930635359273e-02	3.594170e+00	1.797084e-06	3.529537e+00	4.532840e-01
8.371298567002533e-02	3.593781e+00	1.796890e-06	3.529153e+00	4.532544e-01
8.373636874096151e-02	3.593397e+00	1.796698e-06	3.528772e+00	4.532250e-01
8.375999688168191e-02	3.593008e+00	1.796503e-06	3.528388e+00	4.531953e-01
8.378341941278718e-02	3.592623e+00	1.796311e-06	3.528007e+00	4.531658e-01
8.380701557933445e-02	3.592235e+00	1.796116e-06	3.527623e+00	4.531360e-01
8.383046613565986e-02	3.591848e+00	1.795923e-06	3.527241e+00	4.531063e-01
8.385403869343014e-02	3.591460e+00	1.795729e-06	3.526857e+00	4.530764e-01
8.390106468708722e-02	3.590685e+00	1.795342e-06	3.526091e+00	4.530165e-01
8.395917594997836e-02	3.589726e+00	1.794862e-06	3.525143e+00	4.529421e-01
8.401728721286950e-02	3.588767e+00	1.794382e-06	3.524194e+00	4.528673e-01
8.407539847576063e-02	3.587806e+00	1.793902e-06	3.523244e+00	4.527921e-01
8.413350973865179e-02	3.586844e+00	1.793421e-06	3.522293e+00	4.527165e-01
8.419162100154293e-02	3.585882e+00	1.792940e-06	3.521341e+00	4.526404e-01
8.424973226443407e-02	3.584918e+00	1.792458e-06	3.520389e+00	4.525639e-01
8.430784352732520e-02	3.583954e+00	1.791976e-06	3.519435e+00	4.524870e-01
8.434929403381106e-02	3.583265e+00	1.791632e-06	3.518755e+00	4.524319e-01
8.439074454029691e-02	3.582576e+00	1.791287e-06	3.518074e+00	4.523766e-01
8.443219504678276e-02	3.581887e+00	1.790943e-06	3.517392e+00	4.523211e-01
8.447364555326860e-02	3.581197e+00	1.790598e-06	3.516710e+00	4.522654e-01
8.451509605975445e-02	3.580506e+00	1.790252e-06	3.516028e+00	4.522095e-01
8.455654656624030e-02	3.579815e+00	1.789907e-06	3.515345e+00	4.521534e-01
8.459799707272615e-02	3.579124e+00	1.789561e-06	3.514662e+00	4.520971e-01
8.459838706726383e-02	3.579118e+00	1.789558e-06	3.408827e+00	4.520966e-01
8.459852865913657e-02	3.579115e+00	1.789557e-06	3.166637e+00	4.520964e-01
8.459866481940637e-02	3.579113e+00	1.789556e-06	2.732494e+00	4.520962e-01
8.459877963915829e-02	3.579111e+00	1.789555e-06	2.361063e+00	4.520960e-01
8.459890045965972e-02	3.579109e+00	1.789554e-06	2.037148e+00	4.520959e-01
8.459914210066256e-02	3.579105e+00	1.789552e-06	1.532620e+00	4.520956e-01
8.459951756087292e-02	3.579099e+00	1.789548e-06	9.682643e-01	4.520951e-01
8.459989550266474e-02	3.579093e+00	1.789545e-06	5.939146e-01	4.520945e-01
8.460025334746975e-02	3.579086e+00	1.789542e-06	3.744494e-01	4.520940e-01
8.460063232902039e-02	3.579080e+00	1.789539e-06	2.304493e-01	4.520935e-01
8.460099999734386e-02	3.579074e+00	1.789536e-06	1.434617e-01	4.520930e-01
8.460137825593320e-02	3.579068e+00	1.789533e-06	8.820759e-02	4.520925e-01
8.460174616113779e-02	3.579062e+00	1.789530e-06	5.488827e-02	4.520920e-01
8.460212191530643e-02	3.579055e+00	1.789527e-06	3.386046e-02	4.520915e-01
8.460249119222452e-02	3.579049e+00	1.789524e-06	2.104325e-02	4.520910e-01
8.460286619157202e-02	3.579043e+00	1.789521e-06	1.299336e-02	4.520905e-01
8.460323646539748e-02	3.579037e+00	1.789517e-06	8.066569e-03	4.520900e-01
8.460361068398480e-02	3.579031e+00	1.789514e-06	4.986452e-03	4.520895e-01
8.460398160817449e-02	3.579024e+00	1.789511e-06	3.094795e-03	4.520890e-01
8.460435539523185e-02	3.579018e+00	1.789508e-06	1.915363e-03	4.520884e-01
8.460472694164116e-02	3.579012e+00	1.789505e-06	1.189230e-03	4.520879e-01
8.460510062213168e-02	3.579005e+00	1.789502e-06	7.374197e-04	4.520874e-01
8.460547290876250e-02	3.578999e+00	1.789499e-06	4.587903e-04	4.520869e-01
8.460584701532620e-02	3.578993e+00	1.789496e-06	2.856700e-04	4.520864e-01
8.460622063879975e-02	3.578987e+00	1.789493e-06	1.787799e-04	4.520859e-01
8.460659636140051e-02	3.578981e+00	1.789489e-06	1.124338e-04	4.520854e-01
8.460697303695500e-02	3.578974e+00	1.789486e-06	7.143717e-05	4.520849e-01
8.460735329027866e-02	3.578968e+00	1.789483e-06	4.601209e-05	4.520844e-01
8.460773753548580e-02	3.578962e+00	1.789480e-06	3.029746e-05	4.520839e-01
8.460812961457398e-02	3.578955e+00	1.789477e-06	2.056463e-05	4.520833e-01
8.460853281093746e-02	3.578948e+00	1.789473e-06	1.455895e-05	4.520828e-01
8.460895450684305e-02	3.578941e+00	1.789470e-06	1.085878e-05	4.520822e-01
8.460940382087680e-02	3.578934e+00	1.789466e-06	8.600122e-06	4.520816e-01
8.460989612197609e-02	3.578926e+00	1.789462e-06	7.241454e-06	4.520809e-01
8.461045243888327e-02	3.578916e+00	1.789457e-06	6.450179e-06	4.520802e-01
8.461110587873574e-02	3.578905e+00	1.789452e-06	6.014190e-06	4.520793e-01
8.461190655042360e-02	3.578892e+00	1.789445e-06	5.766412e-06	4.520782e-01
8.461203578995220e-02	3.578890e+00	1.789444e-06	5.746506e-06	4.520780e-01
8.461229426900940e-02	3.578886e+00	1.789442e-06	5.726354e-06	4.520776e-01
8.461281122712380e-02	3.578877e+00	1.789438e-06	5.696670e-06	4.520769e-01
8.461294046665241e-02	3.578875e+00	1.789436e-06	5.691604e-06	4.520768e-01
8.461319894570961e-02	3.578870e+00	1.789434e-06	5.685271e-06	4.520764e-01
8.461371590382401e-02	3.578862e+00	1.789430e-06	5.677311e-06	4.520757e-01
8.461474982005282e-02	3.578845e+00	1.789421e-06	5.670376e-06	4.520743e-01
8.461681765251043e-02	3.578810e+00	1.789404e-06	5.666884e-06	4.520715e-01
